kingdom	phylum	cls	order	family	genus	species	common_name	filepath	class
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/a529fdc0-4232-4e82-97ac-c7fa5575930a.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/95d7b4c4-d013-4086-b2be-af96caa35013.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/a7cf028b-9720-4037-b941-ad4a7d22e693.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/18b0349d-7543-4721-8b3e-f97a2ee8d542.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/217def43-076b-4bb6-9373-f598b46c0593.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha	carolina		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/525cda3c-7a7f-46e0-93c2-77e8f0d833ff.png	Tetracha carolina
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	sayi		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/sayi/919ee508-51be-4aba-be89-7e99b7584eb9.png	Calosoma sayi
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/0b177083-254a-4d09-87bf-caa840e2d1bb.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/49ea547b-fe2c-45be-b888-05c68d87cb8b.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Sphaeroderus	schaumii		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Sphaeroderus/schaumii/c4823832-ccd3-47f1-8007-fcd3042fcc90.png	Sphaeroderus schaumii
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/47492182-0ce1-4e69-ab8a-f9376b009508.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/069f4cda-d6f5-46c8-a91f-88daf473e1c4.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/a82555b9-2df4-49c4-bc65-df8cfc66e6c3.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/bebd87bd-6087-446e-8c16-030fd1da2c77.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	tricolor		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/22fafb75-7635-44d8-bc0c-46437faae7b3.png	Chlaenius tricolor
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Parvindela	celeripes		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Parvindela/celeripes/772b8cbc-8a18-4c6b-ab3e-3df6cbe027f9.png	Parvindela celeripes
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/93bf7ce8-6cb3-41b2-9b1a-0496fe134b6e.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	aestivus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/979442fe-f8cd-49fa-af14-7cbf4a976889.png	Chlaenius aestivus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	aestivus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/4339f9a4-deeb-4b3a-bd49-4fa1ba47b1fe.png	Chlaenius aestivus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	aestivus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/0473289f-06e9-46f7-9cff-0d49205e3661.png	Chlaenius aestivus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Helluomorphoides	nigripennis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Helluomorphoides/nigripennis/cf1fcc8c-056f-4d42-99bb-e1235c8cd008.png	Helluomorphoides nigripennis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Helluomorphoides	nigripennis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Helluomorphoides/nigripennis/43c1ccf4-4fd6-4e05-bb68-b0ccbbfb0c6f.png	Helluomorphoides nigripennis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/ddebadfc-95ab-4c1a-b243-b4961f8cb5ec.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Paraclivina	bipustulata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Paraclivina/bipustulata/809462e5-c93c-4e57-8b09-865d07f4e016.png	Paraclivina bipustulata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calleida	viridipennis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calleida/viridipennis/4ff183b0-4d28-4957-afcc-454bc3383ebf.png	Calleida viridipennis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Geopinus	incrassatus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Geopinus/incrassatus/d798113e-9ca3-4ce3-a1d8-b27a1310dbe5.png	Geopinus incrassatus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha	carolina		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/a6a91ec4-dd85-4165-801f-8ca4108c548d.png	Tetracha carolina
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Colliuris	pensylvanica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Colliuris/pensylvanica/3f0f2062-1da6-47ce-a66a-fcbf4f5c1ef4.png	Colliuris pensylvanica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Colliuris	pensylvanica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Colliuris/pensylvanica/3f3f5df6-e6b4-44b5-929d-1b262b076bfb.png	Colliuris pensylvanica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/58b8ff3d-8872-4e34-84f9-db7ff3e4127b.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/5f88c486-5b7d-4231-a520-271381c906b2.png	Calosoma scrutator
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calleida	punctata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calleida/punctata/f070276e-ba47-4d61-be8a-e077aa4162b9.png	Calleida punctata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	tricolor		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/0a5bb33e-9506-48dd-8a01-1c6b16de0cf0.png	Chlaenius tricolor
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	pensylvanicus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/42b4c119-b550-4a71-ab14-a6092406b8ac.png	Harpalus pensylvanicus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	sayi		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/sayi/4db4c651-ab4c-4641-81a4-626d1be9e647.png	Calosoma sayi
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/4b28e500-2970-4540-b6b6-d5bceadcc6e9.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha	carolina		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/e7e34087-2dd3-4608-a14d-24d602aad19b.png	Tetracha carolina
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/2aadacb0-a302-4bb5-8522-61fb55e2b07f.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha	virginica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/virginica/cb3ae613-f34b-4549-a3c5-330cfeaa20cb.png	Tetracha virginica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/80d1167a-ed1c-4b2a-b099-0d04f364f697.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha	virginica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/virginica/5b4f359c-b088-4c75-8215-4948a52f7081.png	Tetracha virginica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	limbalis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/limbalis/cc89813c-5571-4076-8afd-8a9b2e77d37a.png	Cicindela limbalis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Stenolophus	lecontei		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/lecontei/ccaa8ead-5e8e-49bd-a6ba-089a53a5484c.png	Stenolophus lecontei
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Bembidion	graciliforme		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Bembidion/graciliforme/43cd0361-5572-4067-8a4c-0a7d1d5eb48f.png	Bembidion graciliforme
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Blemus	discus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Blemus/discus/b4c46fb4-5a5c-442d-97ac-75fc5a0633de.png	Blemus discus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	pensylvanicus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/0facd5b1-bd78-4fb5-99c0-db789de6f298.png	Harpalus pensylvanicus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scarites	subterraneus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/099eee00-6d02-4260-98e8-bec77d11aaba.png	Scarites subterraneus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Poecilus	lucublandus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Poecilus/lucublandus/8d3ef811-b212-4378-8209-88c8aaae3a30.png	Poecilus lucublandus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	tricolor		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/c31eb143-c001-4226-a226-9caacaa2ab39.png	Chlaenius tricolor
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	hirticollis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/hirticollis/5e9efa28-1b62-457f-baca-956f01a4162f.png	Cicindela hirticollis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Lebia	viridis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/viridis/f319684e-f64e-4cbf-9efc-40ea72719f59.png	Lebia viridis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calleida	punctata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calleida/punctata/026f367b-b20b-4a5e-8cc4-3c104241c7ef.png	Calleida punctata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	limbalis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/limbalis/a661c22b-c69b-491a-b179-9f093dfe75ef.png	Cicindela limbalis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	limbalis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/limbalis/a1e40690-4aad-48cf-ae90-1e000681e21a.png	Cicindela limbalis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	limbalis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/limbalis/0c7c1588-a339-4311-a5a8-e1148a7d2f0c.png	Cicindela limbalis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/1fe89238-cd97-45b3-9309-89b78e51b691.png	Cicindela sexguttata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Elaphrus	americanus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Elaphrus/americanus/7363a813-33e9-42a1-9391-e9d3b8938b79.png	Elaphrus americanus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Elaphrus	americanus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Elaphrus/americanus/a7a46275-40cf-4012-8eee-e5a1038f7a4e.png	Elaphrus americanus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Elaphrus	americanus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Elaphrus/americanus/5b4b2bb1-4250-4597-a111-1c51fbcefec4.png	Elaphrus americanus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Notiophilus	biguttatus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Notiophilus/biguttatus/c32b68dd-d46f-4efb-b301-485aa9ddcdb3.png	Notiophilus biguttatus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Stenolophus	comma		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/comma/d32b4922-acea-4f58-815a-6be73fda21b7.png	Stenolophus comma
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Anisodactylus	sanctaecrucis		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Anisodactylus/sanctaecrucis/8113d559-e0a6-48eb-b43d-9e494fad37fb.png	Anisodactylus sanctaecrucis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Poecilus	lucublandus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Poecilus/lucublandus/25c89043-c782-4717-8e49-80e1abec55d6.png	Poecilus lucublandus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	repanda		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/repanda/e8ad8d74-8b7e-4fd7-af0f-6cc134dc058d.png	Cicindela repanda
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Chlaenius	aestivus		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/ac169c86-e260-4854-b4f4-d3e848d2895f.png	Chlaenius aestivus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cymindis	limbata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cymindis/limbata/809b2fae-18a2-435c-bc17-3f5f77d7212d.png	Cymindis limbata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cymindis	limbata		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cymindis/limbata/a6f0cda5-2982-40b2-94f1-770a44fa7785.png	Cymindis limbata
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	tranquebarica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/tranquebarica/cf01d2f4-e0f9-4695-8103-58bc4048cc40.png	Cicindela tranquebarica
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	tranquebarica		Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/tranquebarica/0f654a06-13e3-4aa3-83b3-603dcffb9215.png	Cicindela tranquebarica
