ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/repanda/78bfe7ea-7850-4ed1-8192-00d522554ed5.png,Cicindela repanda,Dromochorus belfragei,Apterodela unipunctata,Cicindela sylvatica,Apterodela unipunctata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/aeruginosum/f00d3d34-9efb-4dbf-85b4-238b95057f27.png,Agonum aeruginosum,Bembidion confusum,Calosoma affine,Omophron americanum,Calosoma moniliatum
BritishCarabids/British Carabids/database/5872124/d087s0074.jpg,Bembidion articulatum,Bembidion articulatum,Bembidion quadrimaculatum,Bembidion articulatum,Bembidion articulatum
BritishCarabids/British Carabids/database/5755011/d153s0039.jpg,Agonum marginatum,Agonum marginatum,Agonum marginatum,Agonum marginatum,Agonum marginatum
BeetlePalooza/individual_images/A00000051538.jpg/ac017d1f-6c41-4371-9e29-52570a7a0722_575ed9e8-b83d-4538-835e-f1be4c631bf8.png,Harpalus caliginosus,Pterostichus trinarius,Pterostichus melanarius,Harpalus caliginosus,Harpalus pensylvanicus
BritishCarabids/British Carabids/database/1035208/d167s0226.jpg,Amara bifrons,Amara bifrons,Amara bifrons,Amara familiaris,Amara infima
BritishCarabids/British Carabids/database/1036286/d144s0091.jpg,Sericoda quadripunctata,Notiophilus palustris,Sericoda quadripunctata,Notiophilus palustris,Sericoda quadripunctata
BritishCarabids/British Carabids/database/1035551/d049s0071.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
BritishCarabids/British Carabids/database/6097882/d073s0364.jpg,Bembidion atrocaeruleum,Agonum piceum,Bembidion atrocaeruleum,Ocys harpaloides,Bembidion atrocaeruleum
BritishCarabids/British Carabids/database/7840196/d120s0109.jpg,Pterostichus minor,Patrobus atrorufus,Pterostichus minor,Agonum micans,Patrobus assimilis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/2831852c-d100-493c-bd37-cb438afd60b3.png,Cicindelidia sedecimpunctata,Cicindelidia schauppii,Cicindelidia sedecimpunctata,Cicindelidia sedecimpunctata,Cicindelidia sedecimpunctata
BritishCarabids/British Carabids/database/4472849/d159s0178.jpg,Amara communis,Amara communis,Amara communis,Amara communis,Amara communis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/comma/4aea3a3b-bc71-4b68-ae8b-d4543a71c2c5.png,Stenolophus comma,Stenolophus lecontei,Stenolophus comma,Stenolophus lecontei,Anisodactylus sanctaecrucis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/puncticeps/aaa018d1-52ac-487c-ac44-0d58dcf2949a.png,Harpalus puncticeps,Amara angustata,Harpalus amputatus,Platynus brunneomarginatus,Cyclotrachelus sodalis
BritishCarabids/British Carabids/database/4308787/d038s0077.jpg,Nebria complanata,Nebria complanata,Nebria complanata,Nebria complanata,Nebria complanata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/propinquum/c2eea194-5a20-4dfe-9cd3-f5b72fa0a486.png,Agonum propinquum,Bembidion patruele,Anisodactylus rusticus,Bembidion constrictum,Amara aenea
BritishCarabids/British Carabids/database/4475140/d189s0634.jpg,Ophonus rufibarbis,Harpalus tenebrosus,Ophonus rufibarbis,Harpalus attenuatus,Ophonus rufibarbis
BritishCarabids/British Carabids/database/6097883/d071s0281.jpg,Bembidion varium,Syntomus truncatellus,Pogonus chalceus,Bembidion varium,Pogonus chalceus
BeetlePalooza/individual_images/A00000041653.jpg/2b570c0c-1456-4e21-8ba0-0352414ad54b_f1b73614-4201-4bd3-b6f7-533a4391e0df.png,Harpalus amputatus,Amara quenseli,Harpalus amputatus,Calathus advena,Harpalus amputatus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scaphinotus/marginatus/10c90407-d60c-4f83-af4f-8403b98ac9ef.png,Scaphinotus marginatus,Sphaeroderus stenostomus,Carabus goryi,Calosoma frigidum,Scaphinotus marginatus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/1d3b6e69-a3c8-4c36-a63c-27b5dbabdce8.png,Cicindelidia sedecimpunctata,Cicindela patruela,Cicindela tranquebarica,Cicindelidia sedecimpunctata,Cicindela tranquebarica
BritishCarabids/British Carabids/database/4308812/d191s0074.jpg,Anisodactylus poeciloides,Lebia viridis,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides
BritishCarabids/British Carabids/database/4475140/d189s0721.jpg,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis
BritishCarabids/British Carabids/database/1037293/d062s0123.jpg,Trechus rubens,Trechus rubens,Trechus rubens,Trechus rubens,Trechus rubens
BeetlePalooza/individual_images/A00000069246.jpg/d9689249-751b-4cb2-8391-8e4504e1cdf8_fda7bdaa-fb43-4b90-b945-01e5adbbf6e5.png,Harpalus pensylvanicus,Harpalus paratus,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus
BritishCarabids/British Carabids/database/8335452/d075s0292.jpg,Bembidion bualei,Bembidion ephippium,Bembidion bualei,Bembidion dentellum,Bembidion bualei
BeetlePalooza/individual_images/A00000033621.jpg/db94ba66-206a-4198-a8a4-19a456426209_2b76fd85-b3b7-476e-9cf4-db6ce35502dc.png,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
BritishCarabids/British Carabids/database/6097886/d078s0279.jpg,Bembidion lunatum,Pogonus chalceus,Pogonus chalceus,Agonum thoreyi,Bembidion monticola
BritishCarabids/British Carabids/database/4480485/d001s0198.jpg,Cicindela campestris,Cicindela campestris,Cicindela campestris,Cicindela campestris,Cicindela campestris
BritishCarabids/British Carabids/database/7873810/d123s0447.jpg,Pterostichus diligens,Leistus fulvibarbis,Pterostichus strenuus,Agonum emarginatum,Pedius longicollis
BritishCarabids/British Carabids/database/8378220/d183s0176.jpg,Harpalus serripes,Harpalus dimidiatus,Harpalus serripes,Zabrus tenebrioides,Zabrus tenebrioides
BritishCarabids/British Carabids/database/4472828/d157s0254.jpg,Amara plebeja,Amara consularis,Amara familiaris,Amara familiaris,Amara plebeja
BeetlePalooza/individual_images/A00000041436.jpg/3e4e50e7-5508-48f8-936a-dafaf22f2356_f4848481-2a4b-4df6-a1d5-c952315d610f.png,Harpalus pensylvanicus,Pterostichus restrictus,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus
BeetlePalooza/individual_images/CPER_003.S.20180719.EURGRO.01(45).jpg/09bf4715-1b6a-4041-a4ec-43f1ed2d0ddd_73f826a5-a4d6-4923-9414-cf7adb2d8830.png,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus
BritishCarabids/British Carabids/database/9479706/d066s0212.jpg,Bembidion laterale,Bembidion laterale,Bembidion laterale,Acupalpus dubius,Bembidion laterale
BeetlePalooza/individual_images/A00000046138.jpg/478e0c5e-249d-49f4-80a9-8dedd63f27d3_ec7cfb9a-9ad7-451a-8f4b-469b11236777.png,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/viridis/2e00efbe-74bc-4b73-8828-43883fee369f.png,Lebia viridis,Calosoma marginale,Lebia viridis,Lebia viridis,Lebia viridis
BritishCarabids/British Carabids/database/9364935/d041s0478.jpg,Notiophilus biguttatus,Asaphidion pallipes,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
BritishCarabids/British Carabids/database/4475128/d187s0004.jpg,Ophonus schaubergerianus,Harpalus smaragdinus,Harpalus rubripes,Harpalus latus,Harpalus rubripes
BritishCarabids/British Carabids/database/4308800/d084s0295.jpg,Bembidion fumigatum,Bembidion quadrimaculatum,Pterostichus aethiops,Bembidion biguttatum,Syntomus foveatus
BritishCarabids/British Carabids/database/1035578/d034s0173.jpg,Nebria brevicollis,Amara aulica,Nebria brevicollis,Nebria brevicollis,Nebria brevicollis
BeetlePalooza/individual_images/A00000034561.jpg/ded0a6cd-2ea5-48a2-8c20-e4b7c0796248_e5a64d54-1e3c-4895-a048-7ed42762a6e6.png,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Paraclivina/bipustulata/9dc98222-7aa4-4c62-a777-adef3459d735.png,Paraclivina bipustulata,Paraclivina bipustulata,Paraclivina bipustulata,Paraclivina bipustulata,Notiophilus semistriatus
BeetlePalooza/individual_images/A00000051542.jpg/0ec66308-9c75-4bb5-ba12-83d2f4718ab5_6ce788f9-1de3-4bcd-88eb-4d4708a459a5.png,Harpalus paratus,Euryderus grossus,Harpalus paratus,Harpalus paratus,Harpalus paratus
BritishCarabids/British Carabids/database/4988207/d046s0040.jpg,Blethisa multipunctata,Elaphrus uliginosus,Blethisa multipunctata,Elaphrus uliginosus,Blethisa multipunctata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/viridis/121db18d-c20f-4ca0-855b-25fafa7df006.png,Lebia viridis,Lebia viridis,Lebia viridis,Lebia viridis,Lebia viridis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/laticollis/1e22508c-d344-4ba6-98e6-5b4ae95c314c.png,Chlaenius laticollis,Chlaenius platyderus,Cymindis cribricollis,Agonum melanarium,Cymindis cribricollis
BritishCarabids/British Carabids/database/5872954/d009s0108.jpg,Calosoma inquisitor,Calosoma inquisitor,Calosoma inquisitor,Calosoma inquisitor,Calosoma inquisitor
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/tranquebarica/79db636e-0427-44aa-bedd-f0e671a4d1cb.png,Cicindela tranquebarica,Cicindela repanda,Cicindela hirticollis,Cicindela repanda,Cicindelidia sedecimpunctata
BritishCarabids/British Carabids/database/5755339/d179s0023.jpg,Harpalus latus,Harpalus pumilus,Harpalus latus,Ophonus rufibarbis,Harpalus latus
BritishCarabids/British Carabids/database/4475846/d203s0130.jpg,Licinus punctatulus,Licinus punctatulus,Licinus punctatulus,Licinus punctatulus,Licinus punctatulus
BritishCarabids/British Carabids/database/4475908/d104s0064.jpg,Patrobus assimilis,Pterostichus macer,Pterostichus minor,Pterostichus minor,Pterostichus anthracinus
BritishCarabids/British Carabids/database/4473617/d037s0125.jpg,Nebria rufescens,Pterostichus cristatus,Nebria rufescens,Nebria brevicollis,Nebria rufescens
BritishCarabids/British Carabids/database/1035931/d080s0517.jpg,Bembidion tetracolum,Agonum muelleri,Bembidion tetracolum,Pterostichus strenuus,Bembidion tetracolum
BritishCarabids/British Carabids/database/4479890/d215s0425.jpg,Syntomus foveatus,Syntomus foveatus,Syntomus foveatus,Microlestes maurus,Syntomus foveatus
BritishCarabids/British Carabids/database/6097883/d071s0582.jpg,Bembidion varium,Bembidion dentellum,Bembidion varium,Bembidion varium,Bembidion varium
BritishCarabids/British Carabids/database/1036192/d088s0125.jpg,Bembidion obtusum,Syntomus foveatus,Bembidion lunulatum,Bembidion obtusum,Bembidion minimum
BritishCarabids/British Carabids/database/1036128/d086s0074.jpg,Bembidion quadrimaculatum,Bembidion quadrimaculatum,Bembidion quadrimaculatum,Bembidion quadrimaculatum,Bembidion quadrimaculatum
BritishCarabids/British Carabids/database/4480200/d212s0026.jpg,Calodromius spilotus,Dyschirius thoracicus,Calodromius spilotus,Syntomus foveatus,Calodromius spilotus
BritishCarabids/British Carabids/database/4308806/d085s0140.jpg,Bembidion minimum,Dyschirius tristis,Bembidion minimum,Bembidion doris,Bembidion doris
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/pulchra/07495496-4609-4823-9b79-ee33889d7b93.png,Cicindela pulchra,Cicindela pulchra,Cicindela pulchra,Cicindela pulchra,Cicindela pulchra
BritishCarabids/British Carabids/database/5755082/d148s0130.jpg,Agonum micans,Pterostichus minor,Agonum micans,Pterostichus minor,Agonum nigrum
BritishCarabids/British Carabids/database/5755027/d154s0225.jpg,Agonum nigrum,Pterostichus macer,Leistus spinibarbis,Agonum viduum,Agonum micans
BeetlePalooza/individual_images/A00000051627.jpg/d4e310d3-5b8e-40bc-81e0-fc5c0a93f564_f35d23e1-0703-410b-aebc-891dd2abebe7.png,Carabus taedatus,Carabus taedatus,Carabus taedatus,Carabus taedatus,Carabus taedatus
BritishCarabids/British Carabids/database/5755079/d145s0352.jpg,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum
BritishCarabids/British Carabids/database/7856746/d117s0176.jpg,Pterostichus melanarius,Amara aulica,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius
BritishCarabids/British Carabids/database/6097872/d078s0431.jpg,Bembidion monticola,Bembidion atrocaeruleum,Bembidion tibiale,Bembidion monticola,Bembidion tetracolum
BeetlePUUM/SWIFT/individual_images/BET.D20.000105.png/5427b776-e0f6-4e80-ba7b-9ad200b777f8.png,Mecyclothorax brunneonubiger,Mecyclothorax brunneonubiger,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/gratiosum/6d80fe56-cbf4-4a1f-95ac-323431b8e1cc.png,Agonum gratiosum,Badister micans,Agonum gratiosum,Agonum aeruginosum,Hybothecus flohri
BritishCarabids/British Carabids/database/4308806/d085s0034.jpg,Bembidion minimum,Dyschirius thoracicus,Bembidion minimum,Bembidion nigricorne,Bembidion minimum
BritishCarabids/British Carabids/database/4478679/d064s0574.jpg,Asaphidion stierlini,Notiophilus rufipes,Asaphidion stierlini,Notiophilus biguttatus,Asaphidion stierlini
BritishCarabids/British Carabids/database/5757211/d211s0397.jpg,Dromius meridionalis,Dromius meridionalis,Dromius meridionalis,Dromius meridionalis,Dromius meridionalis
BritishCarabids/British Carabids/database/4475677/d197s0517.jpg,Acupalpus dubius,Bradycellus ruficollis,Acupalpus dubius,Philorhizus notatus,Bradycellus ruficollis
BritishCarabids/British Carabids/database/5755075/d155s0260.jpg,Agonum viduum,Agonum nigrum,Agonum emarginatum,Agonum emarginatum,Agonum emarginatum
BritishCarabids/British Carabids/database/6097869/d089s0494.jpg,Bembidion biguttatum,Ophonus rufibarbis,Bembidion biguttatum,Bembidion biguttatum,Bembidion biguttatum
BritishCarabids/British Carabids/database/5755986/d194s0673.jpg,Bradycellus ruficollis,Acupalpus meridianus,Bembidion obtusum,Bradycellus ruficollis,Bembidion obtusum
BritishCarabids/British Carabids/database/4473617/d037s0192.jpg,Nebria rufescens,Sphaeroderus stenostomus,Platynus assimilis,Nebria salina,Nebria brevicollis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Parvindela/lemniscata/7178ddd1-20ad-475b-ab41-adac361e2503.png,Parvindela lemniscata,Ellipsoptera marutha,Parvindela lemniscata,Cicindelidia punctulata,Eunota circumpicta
BritishCarabids/British Carabids/database/4475761/d193s0447.jpg,Dicheirotrichus placidus,Bradycellus verbasci,Trechus quadristriatus,Clivina fossor,Bembidion tetracolum
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/formosa/560effcb-3eaa-4523-9788-a59d567d89d7.png,Cicindela formosa,Habroscelimorpha dorsalis,Cicindelidia ocellata,Cicindela tranquebarica,Ellipsoptera nevadica
BritishCarabids/British Carabids/database/5756015/d204s0530.jpg,Badister unipustulatus,Badister bullatus,Badister bullatus,Badister bullatus,Badister bullatus
BritishCarabids/British Carabids/database/4308806/d085s0188.jpg,Bembidion minimum,Bembidion obtusum,Bembidion aeneum,Bembidion biguttatum,Bembidion aeneum
BritishCarabids/British Carabids/database/5756374/d102s0503.jpg,Pogonus chalceus,Bembidion iricolor,Pogonus chalceus,Bembidion varium,Pogonus chalceus
BritishCarabids/British Carabids/database/4475707/d198s0215.jpg,Acupalpus exiguus,Epaphius secalis,Bembidion obtusum,Bembidion obtusum,Bembidion obtusum
BritishCarabids/British Carabids/database/5755986/d194s0663.jpg,Bradycellus ruficollis,Bradycellus ruficollis,Loricera pilicornis,Bradycellus ruficollis,Calodromius spilotus
BritishCarabids/British Carabids/database/7582513/d063s0282.jpg,Elaphropus bistriatus,Elaphropus bistriatus,Elaphropus bistriatus,Elaphropus bistriatus,Elaphropus bistriatus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Pterostichus/neobrunneus/4f4554e3-7d42-4e58-86c0-6bb7b6ab615b.png,Pterostichus neobrunneus,Scaphinotus marginatus,Pterostichus neobrunneus,Clivina americana,Pterostichus tristis
BritishCarabids/British Carabids/database/9581584/d135s0037.jpg,Calathus mollis,Amara infima,Amara quenseli,Amara familiaris,Calathus mollis
BeetlePUUM/CANON/individual_images/IMG_0462.JPG/a993edb1-f1d2-4468-96d4-ded8976d26c6.png,Trechus obtusus,Mecyclothorax discedens,Trechus obtusus,Trechus obtusus,Trechus obtusus
BritishCarabids/British Carabids/database/7727698/d004s0050.jpg,Cicindela maritima,Cicindela maritima,Cicindela maritima,Cicindela maritima,Cicindela maritima
BritishCarabids/British Carabids/database/5716406/d055s0156.jpg,Dyschirius salinus,Pogonus chalceus,Dyschirius salinus,Dyschirius salinus,Dyschirius salinus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Abaris/splendidula/507c7048-039e-41ff-a560-2d9e2bb344b9.png,Abaris splendidula,Amara angustata,Calathus advena,Coptodera nitidula,Bembidion impotens
BritishCarabids/British Carabids/database/7613168/d109s0046.jpg,Pterostichus aethiops,Pterostichus anthracinus,Pterostichus nigrita,Pterostichus nigrita,Pterostichus aethiops
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/069c19df-b3f3-450f-929f-a71681a8e56d.png,Calosoma scrutator,Amara angustata,Anisodactylus discoideus,Acupalpus dubius,Leistus fulvibarbis
BritishCarabids/British Carabids/database/4474169/d140s0397.jpg,Paranchus albipes,Paranchus albipes,Paranchus albipes,Paranchus albipes,Paranchus albipes
BritishCarabids/British Carabids/database/7508714/d124s0126.jpg,Pterostichus strenuus,Bembidion guttula,Bembidion lunulatum,Notiophilus germinyi,Notiophilus palustris
BeetlePalooza/individual_images/A00000046177.jpg/40769918-9344-415e-808d-7ad8f8e8bac1_7bb6757e-fe09-4205-a24e-e1769ddbdfdb.png,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus
BritishCarabids/British Carabids/database/9491931/d125s0088.jpg,Abax parallelepipedus,Pterostichus cristatus,Pterostichus melanarius,Laemostenus terricola,Pterostichus melanarius
BritishCarabids/British Carabids/database/4476667/d061s0045.jpg,Trechus quadristriatus,Acupalpus dorsalis,Trechus quadristriatus,Bembidion semipunctatum,Trechus quadristriatus
BritishCarabids/British Carabids/database/6097865/d072s0335.jpg,Bembidion prasinum,Amara aenea,Bembidion prasinum,Bembidion atrocaeruleum,Bembidion atrocaeruleum
BeetlePalooza/individual_images/A00000051527.jpg/e9d817ce-498c-4025-891c-6d09f942f5d9_c841f817-8a76-40e4-b3c8-d621d3546368.png,Cyclotrachelus torvus,Amara alpina,Pterostichus melanarius,Synuchus impunctatus,Pterostichus melanarius
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Colliuris/pensylvanica/bd52e2a9-67ba-4a0a-8281-6606db054f3d.png,Colliuris pensylvanica,Colliuris pensylvanica,Colliuris pensylvanica,Colliuris pensylvanica,Colliuris pensylvanica
