ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/repanda/78bfe7ea-7850-4ed1-8192-00d522554ed5.png,Cicindela repanda,Cicindela tranquebarica,Cicindela repanda,Cicindela repanda,Cicindelidia sedecimpunctata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/aeruginosum/f00d3d34-9efb-4dbf-85b4-238b95057f27.png,Agonum aeruginosum,Agonum aeruginosum,Agonum aeruginosum,Agonum aeruginosum,Olisthopus micans
BritishCarabids/British Carabids/database/5872124/d087s0074.jpg,Bembidion articulatum,Bembidion articulatum,Bembidion articulatum,Bembidion articulatum,Bembidion articulatum
BritishCarabids/British Carabids/database/5755011/d153s0039.jpg,Agonum marginatum,Agonum marginatum,Agonum marginatum,Agonum marginatum,Agonum marginatum
BeetlePalooza/individual_images/A00000051538.jpg/ac017d1f-6c41-4371-9e29-52570a7a0722_575ed9e8-b83d-4538-835e-f1be4c631bf8.png,Harpalus caliginosus,Harpalus caliginosus,Harpalus caliginosus,Harpalus caliginosus,Dicaelus purpuratus
BritishCarabids/British Carabids/database/1035208/d167s0226.jpg,Amara bifrons,Amara bifrons,Amara bifrons,Amara familiaris,Amara bifrons
BritishCarabids/British Carabids/database/1036286/d144s0091.jpg,Sericoda quadripunctata,Sericoda quadripunctata,Sericoda quadripunctata,Sericoda quadripunctata,Sericoda quadripunctata
BritishCarabids/British Carabids/database/1035551/d049s0071.jpg,Elaphrus riparius,Bembidion quadripustulatum,Elaphrus riparius,Asaphidion pallipes,Bembidion tetracolum
BritishCarabids/British Carabids/database/6097882/d073s0364.jpg,Bembidion atrocaeruleum,Bembidion deletum,Agonum muelleri,Bembidion atrocaeruleum,Bembidion atrocaeruleum
BritishCarabids/British Carabids/database/7840196/d120s0109.jpg,Pterostichus minor,Dicheirotrichus gustavii,Platyderus depressus,Pterostichus strenuus,Platyderus depressus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/2831852c-d100-493c-bd37-cb438afd60b3.png,Cicindelidia sedecimpunctata,Brasiella wickhami,Cicindelidia sedecimpunctata,Cicindelidia sedecimpunctata,Cicindelidia sedecimpunctata
BritishCarabids/British Carabids/database/4472849/d159s0178.jpg,Amara communis,Amara communis,Amara communis,Amara anthobia,Amara lunicollis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/comma/4aea3a3b-bc71-4b68-ae8b-d4543a71c2c5.png,Stenolophus comma,Stenolophus lecontei,Stenolophus lecontei,Geopinus incrassatus,Bradycellus rupestris
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/puncticeps/aaa018d1-52ac-487c-ac44-0d58dcf2949a.png,Harpalus puncticeps,Selenophorus aeneopiceus,Harpalus desertus,Euryderus grossus,Harpalus desertus
BritishCarabids/British Carabids/database/4308787/d038s0077.jpg,Nebria complanata,Nebria complanata,Nebria complanata,Nebria complanata,Nebria complanata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/propinquum/c2eea194-5a20-4dfe-9cd3-f5b72fa0a486.png,Agonum propinquum,Bembidion iridescens,Bembidion tetracolum,Bembidion commotum,Stenocrepis duodecimstriata
BritishCarabids/British Carabids/database/4475140/d189s0634.jpg,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus laticollis
BritishCarabids/British Carabids/database/6097883/d071s0281.jpg,Bembidion varium,Bembidion bruxellense,Bembidion varium,Bembidion assimile,Bembidion varium
BeetlePalooza/individual_images/A00000041653.jpg/2b570c0c-1456-4e21-8ba0-0352414ad54b_f1b73614-4201-4bd3-b6f7-533a4391e0df.png,Harpalus amputatus,Harpalus amputatus,Harpalus amputatus,Harpalus amputatus,Harpalus amputatus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scaphinotus/marginatus/10c90407-d60c-4f83-af4f-8403b98ac9ef.png,Scaphinotus marginatus,Scaphinotus marginatus,Scaphinotus marginatus,Scaphinotus marginatus,Scaphinotus viduus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/1d3b6e69-a3c8-4c36-a63c-27b5dbabdce8.png,Cicindelidia sedecimpunctata,Cicindelidia sedecimpunctata,Cicindelidia sedecimpunctata,Cicindelidia rufiventris,Cicindelidia sedecimpunctata
BritishCarabids/British Carabids/database/4308812/d191s0074.jpg,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides,Poecilus versicolor,Anisodactylus poeciloides
BritishCarabids/British Carabids/database/4475140/d189s0721.jpg,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis
BritishCarabids/British Carabids/database/1037293/d062s0123.jpg,Trechus rubens,Trechus rubens,Trechus rubens,Trechus rubens,Trechus rubens
BeetlePalooza/individual_images/A00000069246.jpg/d9689249-751b-4cb2-8391-8e4504e1cdf8_fda7bdaa-fb43-4b90-b945-01e5adbbf6e5.png,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus
BritishCarabids/British Carabids/database/8335452/d075s0292.jpg,Bembidion bualei,Bembidion bualei,Bembidion bualei,Bembidion bualei,Bembidion bualei
BeetlePalooza/individual_images/A00000033621.jpg/db94ba66-206a-4198-a8a4-19a456426209_2b76fd85-b3b7-476e-9cf4-db6ce35502dc.png,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
BritishCarabids/British Carabids/database/6097886/d078s0279.jpg,Bembidion lunatum,Bembidion lunatum,Bembidion clarkei,Bembidion geniculatum,Bembidion atrocaeruleum
BritishCarabids/British Carabids/database/4480485/d001s0198.jpg,Cicindela campestris,Cicindela campestris,Cicindela campestris,Cicindela campestris,Cicindela campestris
BritishCarabids/British Carabids/database/7873810/d123s0447.jpg,Pterostichus diligens,Pterostichus diligens,Pterostichus diligens,Pogonus littoralis,Pterostichus diligens
BritishCarabids/British Carabids/database/8378220/d183s0176.jpg,Harpalus serripes,Harpalus serripes,Harpalus serripes,Amara ovata,Harpalus tardus
BritishCarabids/British Carabids/database/4472828/d157s0254.jpg,Amara plebeja,Amara consularis,Amara communis,Amara plebeja,Amara plebeja
BeetlePalooza/individual_images/A00000041436.jpg/3e4e50e7-5508-48f8-936a-dafaf22f2356_f4848481-2a4b-4df6-a1d5-c952315d610f.png,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus pensylvanicus
BeetlePalooza/individual_images/CPER_003.S.20180719.EURGRO.01(45).jpg/09bf4715-1b6a-4041-a4ec-43f1ed2d0ddd_73f826a5-a4d6-4923-9414-cf7adb2d8830.png,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus
BritishCarabids/British Carabids/database/9479706/d066s0212.jpg,Bembidion laterale,Bembidion laterale,Bembidion laterale,Bembidion laterale,Bembidion laterale
BeetlePalooza/individual_images/A00000046138.jpg/478e0c5e-249d-49f4-80a9-8dedd63f27d3_ec7cfb9a-9ad7-451a-8f4b-469b11236777.png,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/viridis/2e00efbe-74bc-4b73-8828-43883fee369f.png,Lebia viridis,Chlaenius pimalicus,Lebia viridis,Calosoma scrutator,Lebia viridis
BritishCarabids/British Carabids/database/9364935/d041s0478.jpg,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
BritishCarabids/British Carabids/database/4475128/d187s0004.jpg,Ophonus schaubergerianus,Harpalus neglectus,Harpalus anxius,Harpalus neglectus,Harpalus smaragdinus
BritishCarabids/British Carabids/database/4308800/d084s0295.jpg,Bembidion fumigatum,Bembidion fumigatum,Bembidion biguttatum,Bembidion fumigatum,Bembidion fumigatum
BritishCarabids/British Carabids/database/1035578/d034s0173.jpg,Nebria brevicollis,Platynus assimilis,Nebria brevicollis,Nebria brevicollis,Nebria brevicollis
BeetlePalooza/individual_images/A00000034561.jpg/ded0a6cd-2ea5-48a2-8c20-e4b7c0796248_e5a64d54-1e3c-4895-a048-7ed42762a6e6.png,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Paraclivina/bipustulata/9dc98222-7aa4-4c62-a777-adef3459d735.png,Paraclivina bipustulata,Paraclivina bipustulata,Paraclivina bipustulata,Stenolophus lecontei,Aspidoglossa subangulata
BeetlePalooza/individual_images/A00000051542.jpg/0ec66308-9c75-4bb5-ba12-83d2f4718ab5_6ce788f9-1de3-4bcd-88eb-4d4708a459a5.png,Harpalus paratus,Harpalus paratus,Harpalus paratus,Harpalus paratus,Harpalus paratus
BritishCarabids/British Carabids/database/4988207/d046s0040.jpg,Blethisa multipunctata,Sericoda quadripunctata,Blethisa multipunctata,Blethisa multipunctata,Blethisa multipunctata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Lebia/viridis/121db18d-c20f-4ca0-855b-25fafa7df006.png,Lebia viridis,Lebia viridis,Lebia viridis,Lebia viridis,Lebia viridis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/laticollis/1e22508c-d344-4ba6-98e6-5b4ae95c314c.png,Chlaenius laticollis,Pterostichus sculptus,Synuchus impunctatus,Harpalus laticeps,Nebria brevicollis
BritishCarabids/British Carabids/database/5872954/d009s0108.jpg,Calosoma inquisitor,Calosoma inquisitor,Laemostenus terricola,Calosoma inquisitor,Laemostenus terricola
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/tranquebarica/79db636e-0427-44aa-bedd-f0e671a4d1cb.png,Cicindela tranquebarica,Cicindela tranquebarica,Cicindela tranquebarica,Cicindela tranquebarica,Cicindela tranquebarica
BritishCarabids/British Carabids/database/5755339/d179s0023.jpg,Harpalus latus,Harpalus anxius,Harpalus latus,Harpalus anxius,Harpalus latus
BritishCarabids/British Carabids/database/4475846/d203s0130.jpg,Licinus punctatulus,Licinus punctatulus,Licinus punctatulus,Licinus punctatulus,Licinus punctatulus
BritishCarabids/British Carabids/database/4475908/d104s0064.jpg,Patrobus assimilis,Pterostichus anthracinus,Patrobus atrorufus,Pterostichus oblongopunctatus,Patrobus atrorufus
BritishCarabids/British Carabids/database/4473617/d037s0125.jpg,Nebria rufescens,Nebria rufescens,Nebria rufescens,Nebria rufescens,Nebria rufescens
BritishCarabids/British Carabids/database/1035931/d080s0517.jpg,Bembidion tetracolum,Bembidion lunatum,Bembidion tetracolum,Bembidion tetracolum,Bembidion tetracolum
BritishCarabids/British Carabids/database/4479890/d215s0425.jpg,Syntomus foveatus,Syntomus foveatus,Syntomus foveatus,Syntomus foveatus,Syntomus foveatus
BritishCarabids/British Carabids/database/6097883/d071s0582.jpg,Bembidion varium,Bembidion lunatum,Bembidion varium,Bembidion semipunctatum,Bembidion varium
BritishCarabids/British Carabids/database/1036192/d088s0125.jpg,Bembidion obtusum,Bembidion clarkei,Bembidion minimum,Bembidion obtusum,Bembidion obtusum
BritishCarabids/British Carabids/database/1036128/d086s0074.jpg,Bembidion quadrimaculatum,Dyschirius globosus,Acupalpus meridianus,Bembidion clarkei,Bembidion quadrimaculatum
BritishCarabids/British Carabids/database/4480200/d212s0026.jpg,Calodromius spilotus,Bembidion quadrimaculatum,Calodromius spilotus,Bembidion minimum,Calodromius spilotus
BritishCarabids/British Carabids/database/4308806/d085s0140.jpg,Bembidion minimum,Bembidion assimile,Bembidion minimum,Bembidion lunulatum,Bembidion minimum
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/pulchra/07495496-4609-4823-9b79-ee33889d7b93.png,Cicindela pulchra,Cicindela pulchra,Cicindela pulchra,Cicindela pulchra,Cicindela pulchra
BritishCarabids/British Carabids/database/5755082/d148s0130.jpg,Agonum micans,Platynus livens,Agonum micans,Agonum nigrum,Platynus livens
BritishCarabids/British Carabids/database/5755027/d154s0225.jpg,Agonum nigrum,Agonum nigrum,Agonum nigrum,Agonum nigrum,Agonum nigrum
BeetlePalooza/individual_images/A00000051627.jpg/d4e310d3-5b8e-40bc-81e0-fc5c0a93f564_f35d23e1-0703-410b-aebc-891dd2abebe7.png,Carabus taedatus,Carabus taedatus,Carabus taedatus,Carabus taedatus,Carabus taedatus
BritishCarabids/British Carabids/database/5755079/d145s0352.jpg,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum
BritishCarabids/British Carabids/database/7856746/d117s0176.jpg,Pterostichus melanarius,Anisodactylus binotatus,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius
BritishCarabids/British Carabids/database/6097872/d078s0431.jpg,Bembidion monticola,Pterostichus strenuus,Bembidion decorum,Pterostichus strenuus,Bembidion decorum
BeetlePUUM/SWIFT/individual_images/BET.D20.000105.png/5427b776-e0f6-4e80-ba7b-9ad200b777f8.png,Mecyclothorax brunneonubiger,Mecyclothorax brunneonubiger,Mecyclothorax konanus,Mecyclothorax discedens,Mecyclothorax konanus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/gratiosum/6d80fe56-cbf4-4a1f-95ac-323431b8e1cc.png,Agonum gratiosum,Agonum gratiosum,Agonum palustre,Agonum gratiosum,Agonum gratiosum
BritishCarabids/British Carabids/database/4308806/d085s0034.jpg,Bembidion minimum,Bembidion bipunctatum,Bembidion minimum,Acupalpus dorsalis,Bembidion minimum
