ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/repanda/78bfe7ea-7850-4ed1-8192-00d522554ed5.png,Cicindela repanda,Dromochorus pruininus,Cicindela oregona,Bembidion cheyennense,Selenophorus palliatus
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/aeruginosum/f00d3d34-9efb-4dbf-85b4-238b95057f27.png,Agonum aeruginosum,Stenolophus comma,Carabus sylvosus,Amara discors,Agonum aeruginosum
BritishCarabids/British Carabids/database/5872124/d087s0074.jpg,Bembidion articulatum,Bembidion assimile,Tachys micros,Acupalpus dubius,Badister sodalis
BritishCarabids/British Carabids/database/5755011/d153s0039.jpg,Agonum marginatum,Agonum marginatum,Agonum marginatum,Agonum marginatum,Agonum marginatum
BeetlePalooza/individual_images/A00000051538.jpg/ac017d1f-6c41-4371-9e29-52570a7a0722_575ed9e8-b83d-4538-835e-f1be4c631bf8.png,Harpalus caliginosus,Harpalus caliginosus,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius
BritishCarabids/British Carabids/database/1035208/d167s0226.jpg,Amara bifrons,Amara consularis,Amara bifrons,Amara bifrons,Amara bifrons
BritishCarabids/British Carabids/database/1036286/d144s0091.jpg,Sericoda quadripunctata,Amara spreta,Sericoda quadripunctata,Sericoda quadripunctata,Sericoda quadripunctata
BritishCarabids/British Carabids/database/1035551/d049s0071.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
BritishCarabids/British Carabids/database/6097882/d073s0364.jpg,Bembidion atrocaeruleum,Amara spreta,Bembidion atrocaeruleum,Agonum fuliginosum,Bembidion atrocaeruleum
BritishCarabids/British Carabids/database/7840196/d120s0109.jpg,Pterostichus minor,Calathus ambiguus,Pterostichus minor,Pterostichus minor,Patrobus assimilis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/2831852c-d100-493c-bd37-cb438afd60b3.png,Cicindelidia sedecimpunctata,Cicindelidia haemorrhagica,Cicindelidia punctulata,Brasiella wickhami,Cicindelidia sedecimpunctata
BritishCarabids/British Carabids/database/4472849/d159s0178.jpg,Amara communis,Amara famelica,Amara communis,Agonum emarginatum,Amara lunicollis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/comma/4aea3a3b-bc71-4b68-ae8b-d4543a71c2c5.png,Stenolophus comma,Poecilus chalcites,Stenolophus comma,Anisodactylus porosus,Discoderus cordicollis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/puncticeps/aaa018d1-52ac-487c-ac44-0d58dcf2949a.png,Harpalus puncticeps,Pterostichus stygicus,Harpalus puncticeps,Amara carinata,Pterostichus lustrans
