ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/repanda/78bfe7ea-7850-4ed1-8192-00d522554ed5.png,Cicindela repanda,Cicindela repanda,Cicindelidia ocellata,Cicindela hirticollis,Cicindela hirticollis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/aeruginosum/f00d3d34-9efb-4dbf-85b4-238b95057f27.png,Agonum aeruginosum,Cicindela purpurea,Cicindela sexguttata,Agonum aeruginosum,Calleida punctata
BritishCarabids/British Carabids/database/5872124/d087s0074.jpg,Bembidion articulatum,Perileptus areolatus,Dyschirius aeneus,Bembidion obtusum,Microlestes maurus
BritishCarabids/British Carabids/database/5755011/d153s0039.jpg,Agonum marginatum,Harpalus rufipalpis,Agonum marginatum,Agonum fuliginosum,Chlaenius nigricornis
BeetlePalooza/individual_images/A00000051538.jpg/ac017d1f-6c41-4371-9e29-52570a7a0722_575ed9e8-b83d-4538-835e-f1be4c631bf8.png,Harpalus caliginosus,Anisodactylus ovularis,Harpalus caliginosus,Harpalus pensylvanicus,Pterostichus permundus
BritishCarabids/British Carabids/database/1035208/d167s0226.jpg,Amara bifrons,Bembidion lunatum,Amara bifrons,Amara apricaria,Amara bifrons
BritishCarabids/British Carabids/database/1036286/d144s0091.jpg,Sericoda quadripunctata,Agonum nigrum,Sericoda quadripunctata,Pogonus chalceus,Sericoda quadripunctata
BritishCarabids/British Carabids/database/1035551/d049s0071.jpg,Elaphrus riparius,Bembidion bruxellense,Elaphrus riparius,Amara aenea,Elaphrus riparius
BritishCarabids/British Carabids/database/6097882/d073s0364.jpg,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion atrocaeruleum
BritishCarabids/British Carabids/database/7840196/d120s0109.jpg,Pterostichus minor,Bembidion lunatum,Pedius longicollis,Agonum gracile,Ophonus rufibarbis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/2831852c-d100-493c-bd37-cb438afd60b3.png,Cicindelidia sedecimpunctata,Calosoma angulatum,Cicindelidia ocellata,Cicindelidia sedecimpunctata,Cicindelidia ocellata
BritishCarabids/British Carabids/database/4472849/d159s0178.jpg,Amara communis,Ocys quinquestriatus,Amara familiaris,Amara familiaris,Amara lunicollis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/comma/4aea3a3b-bc71-4b68-ae8b-d4543a71c2c5.png,Stenolophus comma,Oxypselaphus pusillus,Anisodactylus sanctaecrucis,Amara apricaria,Anisodactylus sanctaecrucis
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/puncticeps/aaa018d1-52ac-487c-ac44-0d58dcf2949a.png,Harpalus puncticeps,Selenophorus aeneopiceus,Cratacanthus dubius,Amara alpina,Cratacanthus dubius
BritishCarabids/British Carabids/database/4308787/d038s0077.jpg,Nebria complanata,Paranchus albipes,Nebria complanata,Amara ovata,Nebria complanata
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/propinquum/c2eea194-5a20-4dfe-9cd3-f5b72fa0a486.png,Agonum propinquum,Stenolophus anceps,Stenolophus anceps,Bembidion cheyennense,Pterostichus vernalis
BritishCarabids/British Carabids/database/4475140/d189s0634.jpg,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis,Ophonus rufibarbis
BritishCarabids/British Carabids/database/6097883/d071s0281.jpg,Bembidion varium,Trechus fulvus,Bembidion bualei,Bembidion obliquum,Sericoda quadripunctata
BeetlePalooza/individual_images/A00000041653.jpg/2b570c0c-1456-4e21-8ba0-0352414ad54b_f1b73614-4201-4bd3-b6f7-533a4391e0df.png,Harpalus amputatus,Cratacanthus dubius,Calathus advena,Calathus advena,Calathus advena
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scaphinotus/marginatus/10c90407-d60c-4f83-af4f-8403b98ac9ef.png,Scaphinotus marginatus,Opisthius richardsoni,Scaphinotus marginatus,Scaphinotus marginatus,Calosoma frigidum
Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindelidia/sedecimpunctata/1d3b6e69-a3c8-4c36-a63c-27b5dbabdce8.png,Cicindelidia sedecimpunctata,Cicindela longilabris,Cicindela limbalis,Cicindela limbalis,Cicindelidia sedecimpunctata
BritishCarabids/British Carabids/database/4308812/d191s0074.jpg,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides
BritishCarabids/British Carabids/database/4475140/d189s0721.jpg,Ophonus rufibarbis,Ocys quinquestriatus,Ophonus azureus,Bembidion monticola,Ophonus azureus
BritishCarabids/British Carabids/database/1037293/d062s0123.jpg,Trechus rubens,Ophonus rupicola,Trechus rubens,Bembidion lunulatum,Badister sodalis
