ImageFilePath,Genus,ScientificName,Dataset
BritishCarabids/British Carabids/database/1036192/d088s0419.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0342.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0042.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0076.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0345.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0140.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0174.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0160.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0094.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0149.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0073.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0059.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0324.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0271.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0408.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0397.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0148.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0265.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0352.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0325.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0399.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0221.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0224.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0132.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0161.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0275.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0200.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0067.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0018.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0267.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0348.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0169.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0228.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0027.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0122.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0022.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0090.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0405.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0278.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0385.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0175.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0135.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0415.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0321.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0134.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0088.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0159.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0013.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0131.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0247.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0291.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0219.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0426.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0103.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0184.jpg,Bembidion,Bembidion obtusum,BritishCarabids
BritishCarabids/British Carabids/database/1036192/d088s0351.jpg,Bembidion,Bembidion obtusum,BritishCarabids
