ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
database/4475188/d188s0013.jpg,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus
database/5873271/d214s0028.jpg,Microlestes maurus,Bembidion aeneum,Bembidion doris,Bembidion aeneum,Bembidion doris
database/7642452/d116s0293.jpg,Pterostichus oblongopunctatus,Pterostichus oblongopunctatus,Pterostichus oblongopunctatus,Anisodactylus binotatus,Pterostichus oblongopunctatus
database/8019310/d119s0249.jpg,Pterostichus gracilis,Pterostichus minor,Pterostichus minor,Pterostichus minor,Pterostichus minor
database/4478842/d086s0109.jpg,Bembidion quadripustulatum,Bembidion tetracolum,Bembidion quadripustulatum,Bembidion doris,Bembidion quadripustulatum
database/4480315/d213s0300.jpg,Philorhizus melanocephalus,Bembidion ephippium,Philorhizus notatus,Philorhizus notatus,Philorhizus notatus
database/4474169/d141s0056.jpg,Paranchus albipes,Paranchus albipes,Paranchus albipes,Paranchus albipes,Paranchus albipes
database/1036789/d012s0134.jpg,Carabus granulatus,Carabus arvensis,Carabus granulatus,Carabus granulatus,Carabus granulatus
database/5755027/d154s0209.jpg,Agonum nigrum,Agonum nigrum,Agonum nigrum,Agonum nigrum,Agonum nigrum
database/5872129/d076s0318.jpg,Bembidion decorum,Bembidion deletum,Bembidion decorum,Bembidion stephensii,Bembidion stephensii
database/1035551/d049s0232.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
database/7888598/d058s0292.jpg,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Blemus discus
database/9251010/d173s0022.jpg,Harpalus rufipes,Harpalus rufipes,Harpalus rufipes,Harpalus rufipes,Harpalus rufipes
database/7641814/d110s0207.jpg,Pterostichus madidus,Pterostichus oblongopunctatus,Pterostichus madidus,Pterostichus anthracinus,Pterostichus gracilis
database/4988354/d133s0174.jpg,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus
database/4308801/d078s0125.jpg,Bembidion maritimum,Bembidion bruxellense,Bembidion bruxellense,Bembidion bruxellense,Bembidion bruxellense
database/5873357/d201s0166.jpg,Chlaenius vestitus,Calathus mollis,Chlaenius vestitus,Chlaenius vestitus,Chlaenius vestitus
database/6097912/d180s0060.jpg,Harpalus pumilus,Harpalus pumilus,Harpalus pumilus,Harpalus pumilus,Harpalus pumilus
database/5716406/d055s0007.jpg,Dyschirius salinus,Dyschirius obscurus,Dyschirius salinus,Dyschirius politus,Dyschirius salinus
database/6097882/d073s0121.jpg,Bembidion atrocaeruleum,Bembidion varium,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion geniculatum
database/1035167/d162s0119.jpg,Amara lunicollis,Amara spreta,Amara aenea,Amara convexior,Amara aenea
database/4473834/d030s0131.jpg,Leistus fulvibarbis,Leistus fulvibarbis,Leistus ferrugineus,Leistus fulvibarbis,Leistus fulvibarbis
database/5755066/d155s0369.jpg,Agonum versutum,Agonum versutum,Agonum versutum,Agonum versutum,Agonum versutum
database/5873271/d214s0232.jpg,Microlestes maurus,Microlestes maurus,Microlestes maurus,Syntomus foveatus,Microlestes maurus
database/1035195/d161s0448.jpg,Amara familiaris,Amara familiaris,Amara familiaris,Amara anthobia,Amara familiaris
database/1036154/d090s0208.jpg,Bembidion guttula,Badister dilatatus,Bembidion doris,Badister dilatatus,Bembidion guttula
database/6097867/d101s0109.jpg,Bembidion mannerheimii,Bembidion mannerheimii,Bembidion assimile,Bembidion lampros,Bembidion assimile
database/6097869/d089s0090.jpg,Bembidion biguttatum,Bembidion tetracolum,Bembidion doris,Badister dilatatus,Pogonus chalceus
database/5755978/d195s0156.jpg,Bradycellus sharpi,Ocys harpaloides,Bradycellus sharpi,Bradycellus sharpi,Bradycellus sharpi
database/5755044/d152s0023.jpg,Agonum ericeti,Agonum ericeti,Agonum ericeti,Agonum ericeti,Agonum ericeti
database/5716411/d102s0164.jpg,Pogonus littoralis,Pogonus littoralis,Pogonus littoralis,Pogonus littoralis,Pogonus littoralis
database/7840196/d120s0240.jpg,Pterostichus minor,Pterostichus oblongopunctatus,Pterostichus vernalis,Pterostichus diligens,Pterostichus vernalis
database/7683246/d063s0009.jpg,Tachys micros,Tachys micros,Tachys micros,Epaphius secalis,Tachys micros
database/5755986/d194s0708.jpg,Bradycellus ruficollis,Bembidion obtusum,Bembidion obtusum,Acupalpus brunnipes,Bradycellus caucasicus
database/6097924/d184s0092.jpg,Harpalus tardus,Harpalus tardus,Harpalus tardus,Amara consularis,Harpalus tardus
database/5753697/d106s0100.jpg,Poecilus cupreus,Poecilus cupreus,Poecilus cupreus,Chlaenius nigricornis,Poecilus cupreus
database/5872124/d087s0191.jpg,Bembidion articulatum,Bembidion lunulatum,Bembidion articulatum,Bembidion articulatum,Bembidion articulatum
database/4473795/d036s0247.jpg,Nebria salina,Pterostichus oblongopunctatus,Nebria salina,Nebria salina,Nebria salina
