ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
database/5757207/d211s0257.jpg,Dromius agilis,Bembidion iricolor,Dromius agilis,Bembidion decorum,Bembidion lunatum
database/5755986/d194s0544.jpg,Bradycellus ruficollis,Trechus obtusus,Elaphropus bistriatus,Bembidion biguttatum,Trechus obtusus
database/8300237/d083s0406.jpg,Bembidion schueppelii,Bembidion nigropiceum,Bembidion schueppelii,Bembidion decorum,Bembidion schueppelii
database/5756374/d102s0214.jpg,Pogonus chalceus,Bembidion bipunctatum,Platyderus depressus,Agonum piceum,Bembidion iricolor
database/8186956/d116s0216.jpg,Pterostichus adstrictus,Pterostichus adstrictus,Pterostichus adstrictus,Pterostichus adstrictus,Pterostichus adstrictus
database/1035542/d048s0015.jpg,Elaphrus lapponicus,Elaphrus lapponicus,Elaphrus lapponicus,Agonum ericeti,Elaphrus lapponicus
database/5755954/d196s0116.jpg,Stenolophus skrimshiranus,Bembidion bruxellense,Leistus terminatus,Dicheirotrichus gustavii,Dicheirotrichus obsoletus
database/8056040/d016s0064.jpg,Carabus nemoralis,Carabus nemoralis,Carabus violaceus,Carabus violaceus,Carabus violaceus
database/5755339/d179s0293.jpg,Harpalus latus,Harpalus attenuatus,Harpalus latus,Harpalus attenuatus,Harpalus latus
database/5755986/d194s0196.jpg,Bradycellus ruficollis,Bembidion quadripustulatum,Bembidion tetracolum,Acupalpus brunnipes,Bembidion clarkei
database/7639821/d070s0595.jpg,Bembidion dentellum,Bembidion dentellum,Bembidion dentellum,Pterostichus minor,Bembidion dentellum
database/5755044/d152s0015.jpg,Agonum ericeti,Agonum ericeti,Agonum ericeti,Agonum ericeti,Agonum ericeti
database/5754974/d142s0456.jpg,Anchomenus dorsalis,Anchomenus dorsalis,Anchomenus dorsalis,Chlaenius vestitus,Anchomenus dorsalis
database/5755075/d155s0270.jpg,Agonum viduum,Bembidion geniculatum,Agonum versutum,Pterostichus quadrifoveolatus,Bembidion geniculatum
database/4471235/d206s0152.jpg,Panagaeus bipustulatus,Panagaeus bipustulatus,Panagaeus bipustulatus,Panagaeus bipustulatus,Panagaeus cruxmajor
database/5873271/d214s0223.jpg,Microlestes maurus,Bembidion nigricorne,Syntomus foveatus,Bembidion aeneum,Syntomus foveatus
database/6097924/d184s0050.jpg,Harpalus tardus,Harpalus latus,Harpalus laevipes,Amara lunicollis,Amara apricaria
database/4475157/d186s0277.jpg,Ophonus laticollis,Calathus ambiguus,Chlaenius nigricornis,Agonum micans,Zabrus tenebrioides
database/1035864/d174s0397.jpg,Harpalus affinis,Harpalus affinis,Harpalus affinis,Harpalus affinis,Harpalus affinis
database/5873218/d181s0010.jpg,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes
database/4474998/d190s0065.jpg,Anisodactylus nemorivagus,Nebria brevicollis,Anisodactylus binotatus,Pterostichus anthracinus,Anisodactylus nemorivagus
database/8051076/d033s0026.jpg,Nebria livida,Nebria salina,Leistus spinibarbis,Leistus spinibarbis,Leistus spinibarbis
database/5873220/d176s0004.jpg,Harpalus anxius,Harpalus anxius,Harpalus servus,Harpalus anxius,Harpalus anxius
database/5757192/d211s0363.jpg,Dromius angustus,Dromius angustus,Dromius angustus,Dromius angustus,Dromius angustus
database/1036893/d051s0627.jpg,Clivina fossor,Clivina fossor,Clivina fossor,Clivina fossor,Clivina fossor
database/4988484/d154s0035.jpg,Agonum muelleri,Elaphrus lapponicus,Agonum muelleri,Agonum muelleri,Agonum muelleri
database/7613168/d109s0046.jpg,Pterostichus aethiops,Pterostichus aethiops,Pterostichus aethiops,Pterostichus aethiops,Pterostichus aethiops
database/6097867/d101s0038.jpg,Bembidion mannerheimii,Bembidion biguttatum,Bembidion assimile,Bembidion doris,Bembidion assimile
database/5757304/d208s0007.jpg,Demetrias imperialis,Demetrias imperialis,Demetrias imperialis,Demetrias imperialis,Demetrias imperialis
database/6097923/d184s0164.jpg,Harpalus smaragdinus,Harpalus rufipes,Harpalus attenuatus,Ophonus azureus,Calathus rotundicollis
database/4308815/d057s0130.jpg,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes
database/4480502/d003s0047.jpg,Cicindela hybrida,Cicindela hybrida,Cicindela hybrida,Cicindela hybrida,Cicindela hybrida
database/4478699/d064s0069.jpg,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum
database/1036203/d067s0273.jpg,Bembidion properans,Bembidion doris,Bembidion doris,Bembidion doris,Bembidion doris
database/1036796/d064s0268.jpg,Asaphidion flavipes,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum
