ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
database/4475188/d188s0013.jpg,Ophonus cordatus,Bembidion iricolor,Ophonus cordatus,Pogonus littoralis,Ophonus cordatus
database/5873271/d214s0028.jpg,Microlestes maurus,Elaphropus bistriatus,Bembidion lampros,Bembidion nigricorne,Dyschirius tristis
database/7642452/d116s0293.jpg,Pterostichus oblongopunctatus,Pelophila borealis,Amara aulica,Carabus arvensis,Amara aulica
database/8019310/d119s0249.jpg,Pterostichus gracilis,Agonum versutum,Agonum versutum,Agonum nigrum,Harpalus neglectus
database/4478842/d086s0109.jpg,Bembidion quadripustulatum,Bembidion quadripustulatum,Bembidion quadripustulatum,Bembidion doris,Bembidion semipunctatum
database/4480315/d213s0300.jpg,Philorhizus melanocephalus,Perileptus areolatus,Philorhizus notatus,Acupalpus flavicollis,Dyschirius globosus
database/4474169/d141s0056.jpg,Paranchus albipes,Badister dilatatus,Ophonus rupicola,Cymindis axillaris,Cymindis vaporariorum
database/1036789/d012s0134.jpg,Carabus granulatus,Chlaenius nigricornis,Carabus granulatus,Laemostenus complanatus,Carabus granulatus
database/5755027/d154s0209.jpg,Agonum nigrum,Agonum versutum,Agonum gracile,Cymindis axillaris,Agonum versutum
database/5872129/d076s0318.jpg,Bembidion decorum,Harpalus laevipes,Synuchus vivalis,Agonum versutum,Bembidion monticola
database/1035551/d049s0232.jpg,Elaphrus riparius,Elaphrus lapponicus,Elaphrus riparius,Elaphrus uliginosus,Elaphrus riparius
database/7888598/d058s0292.jpg,Aepopsis robinii,Philorhizus melanocephalus,Aepus marinus,Aepopsis robinii,Asaphidion flavipes
database/9251010/d173s0022.jpg,Harpalus rufipes,Carabus violaceus,Zabrus tenebrioides,Agonum viduum,Zabrus tenebrioides
database/7641814/d110s0207.jpg,Pterostichus madidus,Poecilus versicolor,Amara convexiusculus,Agonum emarginatum,Carabus arvensis
database/4988354/d133s0174.jpg,Calathus melanocephalus,Bembidion lunatum,Calathus fuscipes,Agonum viduum,Calathus erratus
database/4308801/d078s0125.jpg,Bembidion maritimum,Acupalpus meridianus,Bembidion tetracolum,Acupalpus brunnipes,Acupalpus meridianus
database/5873357/d201s0166.jpg,Chlaenius vestitus,Harpalus rufipes,Ophonus ardosiacus,Abax parallelepipedus,Amara convexiusculus
database/6097912/d180s0060.jpg,Harpalus pumilus,Harpalus tardus,Harpalus attenuatus,Amara convexior,Harpalus serripes
database/5716406/d055s0007.jpg,Dyschirius salinus,Dyschirius salinus,Dyschirius salinus,Amara aenea,Dyschirius salinus
database/6097882/d073s0121.jpg,Bembidion atrocaeruleum,Dyschirius impunctipennis,Clivina fossor,Dyschirius impunctipennis,Bembidion varium
database/1035167/d162s0119.jpg,Amara lunicollis,Poecilus versicolor,Pterostichus vernalis,Harpalus dimidiatus,Harpalus attenuatus
database/4473834/d030s0131.jpg,Leistus fulvibarbis,Poecilus versicolor,Pterostichus minor,Badister bullatus,Paranchus albipes
database/5755066/d155s0369.jpg,Agonum versutum,Agonum nigrum,Agonum versutum,Oodes helopioides,Agonum versutum
database/5873271/d214s0232.jpg,Microlestes maurus,Microlestes maurus,Microlestes maurus,Syntomus obscuroguttatus,Syntomus foveatus
database/1035195/d161s0448.jpg,Amara familiaris,Pogonus littoralis,Amara lucida,Amara lunicollis,Amara lunicollis
database/1036154/d090s0208.jpg,Bembidion guttula,Bembidion iricolor,Pogonus littoralis,Miscodera arctica,Dyschirius impunctipennis
database/6097867/d101s0109.jpg,Bembidion mannerheimii,Bembidion guttula,Bembidion doris,Bembidion assimile,Bembidion gilvipes
database/6097869/d089s0090.jpg,Bembidion biguttatum,Ocys quinquestriatus,Bembidion assimile,Agonum micans,Bembidion assimile
database/5755978/d195s0156.jpg,Bradycellus sharpi,Bradycellus verbasci,Bradycellus harpalinus,Agonum versutum,Bradycellus sharpi
database/5755044/d152s0023.jpg,Agonum ericeti,Elaphrus lapponicus,Agonum ericeti,Carabus arvensis,Lebia chlorocephala
database/5716411/d102s0164.jpg,Pogonus littoralis,Ophonus cordatus,Nebria salina,Bembidion geniculatum,Pogonus littoralis
database/7840196/d120s0240.jpg,Pterostichus minor,Synuchus vivalis,Pterostichus oblongopunctatus,Agonum fuliginosum,Pterostichus oblongopunctatus
database/7683246/d063s0009.jpg,Tachys micros,Dyschirius globosus,Elaphropus walkerianus,Dyschirius globosus,Dyschirius globosus
database/5755986/d194s0708.jpg,Bradycellus ruficollis,Bembidion obtusum,Bradycellus caucasicus,Acupalpus brunnipes,Acupalpus exiguus
database/6097924/d184s0092.jpg,Harpalus tardus,Calosoma inquisitor,Harpalus rubripes,Calosoma inquisitor,Harpalus rubripes
database/5753697/d106s0100.jpg,Poecilus cupreus,Pterostichus cristatus,Poecilus cupreus,Agonum ericeti,Poecilus cupreus
database/5872124/d087s0191.jpg,Bembidion articulatum,Acupalpus exiguus,Acupalpus exiguus,Acupalpus brunnipes,Acupalpus exiguus
database/4473795/d036s0247.jpg,Nebria salina,Pterostichus cristatus,Nebria rufescens,Abax parallelepipedus,Pterostichus cristatus
database/7419401/d185s0059.jpg,Harpalus tenebrosus,Harpalus latus,Harpalus tardus,Amara convexiusculus,Harpalus tardus
database/5755451/d128s0214.jpg,Calathus rotundicollis,Licinus punctatulus,Leistus spinibarbis,Licinus punctatulus,Licinus punctatulus
database/6097882/d073s0105.jpg,Bembidion atrocaeruleum,Pogonus chalceus,Pterostichus diligens,Stomis pumicatus,Bembidion deletum
database/1036917/d190s0213.jpg,Anisodactylus binotatus,Ophonus puncticeps,Ophonus puncticeps,Harpalus tenebrosus,Harpalus smaragdinus
database/1035366/d103s0048.jpg,Patrobus septentrionis,Dicheirotrichus placidus,Patrobus septentrionis,Pogonus luridipennis,Patrobus septentrionis
database/5757207/d211s0264.jpg,Dromius agilis,Nebria rufescens,Dromius agilis,Leistus fulvibarbis,Dromius agilis
database/6097926/d178s0086.jpg,Harpalus laevipes,Bembidion lunatum,Pterostichus cristatus,Pterostichus adstrictus,Laemostenus complanatus
database/4308790/d192s0017.jpg,Dicheirotrichus obsoletus,Bradycellus caucasicus,Nebria brevicollis,Agonum gracile,Calathus mollis
database/5756945/d054s0258.jpg,Dyschirius tristis,Dyschirius impunctipennis,Dyschirius nitidus,Amara convexior,Dyschirius impunctipennis
database/5755293/d129s0097.jpg,Calathus ambiguus,Pterostichus diligens,Calathus mollis,Agonum gracile,Ophonus ardosiacus
database/5716408/d052s0061.jpg,Dyschirius obscurus,Bembidion bipunctatum,Dyschirius obscurus,Acupalpus brunnipes,Dyschirius impunctipennis
