ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
database/4475188/d188s0013.jpg,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus
database/5873271/d214s0028.jpg,Microlestes maurus,Bembidion nigricorne,Microlestes maurus,Acupalpus brunnipes,Acupalpus brunnipes
database/7642452/d116s0293.jpg,Pterostichus oblongopunctatus,Nebria salina,Pterostichus oblongopunctatus,Nebria brevicollis,Pterostichus oblongopunctatus
database/8019310/d119s0249.jpg,Pterostichus gracilis,Pterostichus melanarius,Pterostichus melanarius,Pterostichus anthracinus,Pterostichus anthracinus
database/4478842/d086s0109.jpg,Bembidion quadripustulatum,Elaphropus bistriatus,Bembidion doris,Dyschirius obscurus,Bembidion lampros
database/4480315/d213s0300.jpg,Philorhizus melanocephalus,Philorhizus melanocephalus,Philorhizus melanocephalus,Bembidion femoratum,Philorhizus melanocephalus
database/4474169/d141s0056.jpg,Paranchus albipes,Paranchus albipes,Paranchus albipes,Paranchus albipes,Paranchus albipes
database/1036789/d012s0134.jpg,Carabus granulatus,Carabus clatratus,Carabus granulatus,Carabus arvensis,Carabus granulatus
database/5755027/d154s0209.jpg,Agonum nigrum,Agonum gracile,Agonum nigrum,Agonum gracile,Agonum emarginatum
database/5872129/d076s0318.jpg,Bembidion decorum,Bembidion decorum,Bembidion decorum,Bembidion decorum,Bembidion decorum
database/1035551/d049s0232.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
database/7888598/d058s0292.jpg,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii
database/9251010/d173s0022.jpg,Harpalus rufipes,Harpalus rufipes,Harpalus rufipes,Harpalus rufipes,Harpalus rufipes
database/7641814/d110s0207.jpg,Pterostichus madidus,Pterostichus madidus,Pterostichus madidus,Harpalus rufipalpis,Pterostichus anthracinus
database/4988354/d133s0174.jpg,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus,Miscodera arctica,Calathus melanocephalus
database/4308801/d078s0125.jpg,Bembidion maritimum,Ocys quinquestriatus,Bembidion bualei,Bembidion bualei,Bembidion dentellum
database/5873357/d201s0166.jpg,Chlaenius vestitus,Harpalus affinis,Chlaenius vestitus,Chlaenius vestitus,Chlaenius vestitus
database/6097912/d180s0060.jpg,Harpalus pumilus,Harpalus pumilus,Harpalus pumilus,Harpalus pumilus,Harpalus pumilus
database/5716406/d055s0007.jpg,Dyschirius salinus,Dyschirius salinus,Dyschirius salinus,Dyschirius salinus,Dyschirius salinus
database/6097882/d073s0121.jpg,Bembidion atrocaeruleum,Bembidion lunulatum,Bembidion bipunctatum,Bembidion bipunctatum,Bembidion bipunctatum
database/1035167/d162s0119.jpg,Amara lunicollis,Amara lunicollis,Amara lunicollis,Amara lunicollis,Amara lunicollis
database/4473834/d030s0131.jpg,Leistus fulvibarbis,Paranchus albipes,Ophonus schaubergerianus,Harpalus pumilus,Paranchus albipes
database/5755066/d155s0369.jpg,Agonum versutum,Agonum versutum,Agonum versutum,Agonum versutum,Agonum versutum
